house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,description,SecurityDeposit,Status
2 BHK Apartment ,"1,100 sq ft",Mayur Vihar II,Delhi,28.61963081,77.30245972,22000,INR,1,null,null,null,Posted 3 years ago,"A 2 bhk property is available for rent in Mayur Vihar II, Delhi. It has a built-up area of 1100 sqft and is available for rent at Rs. 22,000 per month . It is a semi-furnished property. Its main door is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Independent Floor ,"1,125 sq ft",Naraina,Delhi,28.62810516,77.14019012,30000,INR,2,null,null,null,Posted 2 years ago,"It has area of 1125 sqft and is available at a rent of Rs. 30,000. The house is semi-furnished. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,800 sq ft",Greater Kailash,Delhi,28.53398132,77.24250031,70000,INR,3,null,null,null,Posted 2 years ago,"Itâs a 3 bhk builder floor situated in Greater Kailash, Delhi. It has area of 1800 sqft and is available at a rent of Rs. 70,000. The house is semi-furnished. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"2,500 sq ft",DLF Phase 5,Delhi,28.45732117,77.10906219,65000,INR,3,null,null,null,Posted 3 days ago,"This spacious 3 bhk builder floor is available for rental and is located in the heart of DLF Phase 5. It has area of 2500 sqft and is available at a rent of Rs. 65,000. It is a furnished property. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. Its main door is facing northeast direction. It is a ready-to-move-in property. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Furnished
3 BHK Independent House ,"1,250 sq ft",Chittaranjan Park,Delhi,28.53881073,77.2489624,48000,INR,2,null,null,null,Posted 2 years ago,"This spacious 3 bhk independent house is available for rental and is located in the heart of Chittaranjan Park. It has a built-up area of 1250 sqft and is available for rent at Rs. 48,000 per month . The house is furnished. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It is a 6 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Furnished
1 RK Studio Apartment ,400 sq ft,Green Park,Delhi,28.55895805,77.20407867,20000,INR,1,null,null,null,Posted 3 years ago,"Itâs a 1 rk builder floor situated in Green Park, Delhi. It has a built-up area of 400 sqft and is available for rent at Rs. 20,000 per month . It is a semi-furnished property. It is a ready-to-move-in property. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment ,800 sq ft,Naraina,Delhi,28.62810516,77.14019012,14000,INR,1,null,null,null,Posted 2 years ago,"This spacious 1 bhk multistorey apartment is available for rental and is located in the heart of Naraina. It has area of 800 sqft and is available at a rent of Rs. 14,000. The house is unfurnished. It is a ready-to-move-in property. It is well connected to the city areas. ",No Deposit,Unfurnished
2 BHK Apartment ,900 sq ft,Sector 19 Dwarka,Delhi,28.57611275,77.04671478,25000,INR,2,null,null,null,Posted 2 years ago,"A spacious 2 bhk multistorey apartment is available for rental in Sector 19 Dwarka, Delhi. It has area of 900 sqft and is available at a rent of Rs. 25,000. The house is semi-furnished. It is a ready-to-move-in property. The society is well connected by different modes of transportation. Please contact for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"1,500 sq ft",Sector 23 Dwarka,Delhi,28.56313705,77.05447388,35000,INR,2,null,null,null,Posted 3 years ago,"A spacious 3 bhk multistorey apartment is available for rental in CGHS Group Chopra Apartment, Sector 23 Dwarka, Delhi. It is a semi-furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"1,900 sq ft",Sector 6 Dwarka,Delhi,28.58728218,77.06472778,42000,INR,2,null,null,null,Posted 2 years ago,"Itâs a 3 bhk multistorey apartment situated in Skylark Apartments, Sector 6 Dwarka. It has an area of 1900 sqft with a carpet area of 1800 sqft . The property is available at a monthly rental of Rs. 42,000 . The house is furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact for more details. ",No Deposit,Furnished
3 BHK Independent Floor ,"1,801 sq ft",Lajpat Nagar III,Delhi,28.56769562,77.24327087,59999,INR,3,null,null,null,Posted 2 years ago,"A 3 bhk property is available for rent in Lajpat Nagar III, Delhi. The house is semi-furnished. It is a ready-to-move-in property. It is well connected to the city areas. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
4 BHK Independent Floor ,"2,700 sq ft",Mansarover Garden,Delhi,28.64249039,77.13269806,50000,INR,4,null,null,null,Posted 4 years ago,,No Deposit,Furnished
4 BHK Independent Floor ,"3,000 sq ft",South Extension 2,Delhi,28.5687809,77.23298645,250000,INR,4,null,null,null,Posted 2 years ago,"A 4 bhk property is available for rental in Defence Colony, South Extension 2, Delhi. It has an area of 3000 sqft with a carpet area of 2700 sqft . The property is available at a monthly rental of Rs. 2.50 lac . It is a semi-furnished property. It is facing northeast direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"1,960 sq ft",Sector-18 Dwarka,Delhi,28.58725357,77.03544617,30000,INR,3,null,null,null,Posted 2 years ago,"It has area of 1960 sqft and is available at a rent of Rs. 30,000. The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment ,720 sq ft,Chattarpur,Delhi,28.49046516,77.17954254,15000,INR,2,null,null,null,Posted 2 months ago,"This is a modern and stylish home available for affordable rent in Delhi. It is a 2 BHK Apartment situated at Chhatarpur. Designed to meet your lifestyle needs, the Apartment provides a range of modern amenities for the comfort of the residents. It is semi furnished. Modern home seekers will experience a comfortable living in this 2 BHK property. The Apartment is on 2 floor, and the total number of floors is 4. The 2 BHK unit is elegantly designed to meet your housing needs. The Apartment has 2 bedrooms. It has 2 bathroom. The 2 BHK unit also includes 1 balcony giving splendid views of the surroundings. The built-up area of the Apartment is 720 square_feet. The carpet area is 700 square_feet. The monthly rent for the Apartment is Rs 15000. The security deposit is Rs 15000. Project Highlights The Apartment is located within the project ATFL JVTS Gardens at Chhatarpur. The developer also offers 2 BHK units as a part of this project. The locality Chhatarpur enjoys good connectivity and convenience in terms of a well-developed social infrastructure",No Deposit,Semi-Furnished
2 BHK Independent Floor ,"1,050 sq ft",Vasant Kunj,Delhi,28.52456093,77.14914703,35000,INR,2,null,null,null,Posted 11 days ago,"This spacious 2 bhk builder floor is available for rental and is located in DDA Flats Vasant Kunj, one of the most prestigious projects of Vasant Kunj. It has area of 1050 sqft and is available at a rent of Rs. 35,000. It is a semi-furnished property. It is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Independent Floor ,650 sq ft,Mansa Ram Park,Delhi,28.61807823,77.04087067,12500,INR,2,null,null,null,Posted a month ago,"A 2 bhk property is available for rent in Mansa Ram Park, Delhi. It has area of 650 sqft and is available at a rent of Rs. 12,500. Its main door is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"2,250 sq ft",Paschim Vihar,Delhi,28.66526985,77.0896225,65000,INR,3,null,null,null,Posted 2 years ago,"Itâs a 3 bhk builder floor situated in Paschim Vihar. It has area of 2250 sqft and is available at a rent of Rs. 65,000. The house is semi-furnished. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"2,000 sq ft",Sector 23 Dwarka,Delhi,28.56251144,77.05653381,40000,INR,2,null,null,null,Posted a year ago,"This spacious 3 bhk multistorey apartment is available for rental and is located in the heart of Sector 23 Dwarka. It has an area of 2000 sqft with a carpet area of 1800 sqft . The property is available at a monthly rental of Rs. 40,000 . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Semi-Furnished
